circuit,driver,session,lap,lap_time_s,sector1_s,sector2_s,sector3_s,tyre_wear_pct,tyre_compound,fuel_kg,gap_ahead_s,gap_behind_s
Monza,VER,Race,1,81.102,27.05,27.80,26.25,38,SOFT,108.5,1.21,1.42
Monza,VER,Race,2,81.055,27.02,27.77,26.27,41,SOFT,106.3,1.18,1.39
Monza,VER,Race,3,81.130,27.08,27.79,26.26,44,SOFT,104.1,1.15,1.37
Monza,VER,Race,4,81.210,27.10,27.82,26.29,47,SOFT,101.9,1.17,1.35
Monza,VER,Race,5,81.305,27.12,27.85,26.33,50,SOFT,99.8,1.12,1.33
Monza,VER,Race,6,81.402,27.15,27.88,26.37,53,SOFT,97.7,1.14,1.31
Monza,VER,Race,7,81.510,27.18,27.91,26.42,56,SOFT,95.6,1.09,1.29
Monza,VER,Race,8,81.633,27.22,27.95,26.46,59,SOFT,93.5,1.07,1.28
Monza,VER,Race,9,81.760,27.25,27.99,26.52,62,SOFT,91.5,1.05,1.26
Monza,VER,Race,10,81.902,27.29,28.03,26.58,65,SOFT,89.5,1.03,1.24
Monza,VER,Race,11,82.050,27.33,28.08,26.64,68,MEDIUM,87.5,1.01,1.22
Monza,VER,Race,12,82.205,27.37,28.13,26.71,71,MEDIUM,85.6,0.99,1.10
Monza,VER,Race,13,82.370,27.41,28.18,26.78,74,MEDIUM,83.7,0.97,1.08
Monza,VER,Race,14,82.540,27.46,28.24,26.84,77,MEDIUM,81.9,0.95,1.06
Monza,VER,Race,15,82.720,27.51,28.30,26.91,80,MEDIUM,80.1,0.93,1.05
Monza,VER,Race,16,82.910,27.56,28.36,26.99,83,MEDIUM,78.4,0.91,1.03
Monza,VER,Race,17,83.110,27.61,28.43,27.07,86,MEDIUM,76.7,0.89,1.02
Monza,VER,Race,18,83.320,27.67,28.50,27.15,89,MEDIUM,75.1,0.87,1.00
Monza,VER,Race,19,83.540,27.73,28.58,27.23,92,MEDIUM,73.5,0.85,0.98
Monza,VER,Race,20,83.770,27.79,28.66,27.32,95,MEDIUM,71.9,0.83,0.97
